Tm;Player;Age;PER;points;rebounds;assists;steals;blocks
POR;Clifford Robinson;27;64;10.5;8.9;2;2.5;
DEN;Bryant Stith;23;76;6.8;10.4;2;0.4;
PHO;A.C. Green;30;76;15;6.9;1.2;0.8;
ORL;Nick Anderson;26;17;9.5;15.7;2.4;0.7;
WSB;Tom Gugliotta;24;58;15.2;16;3.1;1.1;
BOS;Sherman Douglas;27;61;3.9;35.8;1.6;0.2;
NJN;Derrick Coleman;26;84;16.5;15.6;1.2;3.2;
MIA;Steve Smith;24;92;7.2;22.5;1.5;0.9;
DET;Terry Mills;26;17;13.4;10.8;1.2;1.5;
CHI;B.J. Armstrong;26;100;3.6;18;1.5;0.2;
CLE;Gerald Wilkins;30;11;6.4;14.7;2;0.9;
CHI;Scottie Pippen;28;3;13.3;24.6;4;1.4;
CHH;Muggsy Bogues;29;64;6.3;39.2;2.4;0;
GSW;Billy Owens;24;28;12.6;16.8;1.5;1.3;
SEA;Detlef Schrempf;31;37;9.9;14.8;1.4;0.2;
NJN;Kevin Edwards;28;36;5.4;13.6;2.2;0.8;
LAC;Mark Jackson;28;70;6.8;34.6;2.1;0.1;
SAC;Lionel Simmons;25;82;11.4;17.5;1.9;1.2;
LAL;Nick Van Exel;22;58;4.8;25.4;1.6;0.2;
DEN;LaPhonso Ellis;23;50;14;10;1.2;1.9;
LAL;Vlade Divac;25;9;17.2;17.2;1.7;2.6;
CLE;Hot Rod Williams;31;37;12.6;11.3;1.5;3.2;
DEN;Reggie Williams;29;45;8.2;17.6;2.2;1.6;
CHH;Hersey Hawkins;27;87;7.9;11.6;2.5;0.5;
IND;Reggie Miller;28;46;4.7;15.6;2.3;0.6;
POR;Buck Williams;33;96;17.4;4.1;1.1;1.1;
DEN;Mahmoud Abdul-Rauf;24;45;3.6;24.1;1.6;0.2;
IND;Derrick McKey;27;71;8.9;18.8;2.2;1.3;
ATL;Stacey Augmon;25;18;8.3;11;2.9;1.1;
SEA;Shawn Kemp;24;47;19.4;12.4;2.8;4.6;
DET;Joe Dumars;30;53;3.2;16.6;1.2;0.1;
SAS;Dale Ellis;33;13;5.5;5;1.4;0.3;
HOU;Vernon Maxwell;28;54;5;22.4;2.5;0.5;
CHI;Horace Grant;28;4;17.5;14.3;1.5;2.2;
SAC;Spud Webb;30;65;4.7;31.2;1.8;0.6;
MIL;Vin Baker;22;71;13.9;10.6;1.2;3;
SAC;Wayman Tisdale;29;27;12;9.2;0.7;1.3;
MIL;Ken Norman;29;41;11.3;14.3;1.2;1.2;
MIL;Eric Murdock;25;2;5.9;36.9;4;0.3;
PHI;Dana Barros;26;33;4.3;27.2;2.1;0.1;
SAS;Willie Anderson;27;59;5.5;21.6;1.5;1.2;
WSB;Don MacLean;24;79;11;10.7;0.9;0.6;
PHO;Kevin Johnson;27;78;3.8;38.5;2.5;0.3;
GSW;Chris Webber;20;84;15.4;17.1;1.8;4.1;
SEA;Kendall Gill;25;84;6.5;16.9;3.1;0.9;
MIN;Christian Laettner;24;51;14.5;21.3;1.8;2.3;
MIN;Isaiah Rider;22;61;7.6;15.5;1.1;0.7;
MIA;Rony Seikaly;28;82;17.4;8.8;1.3;2.9;
DET;Sean Elliott;25;76;6;12.5;1.1;0.7;
CLE;Mark Price;29;85;5.6;42;2.3;0.3;
HOU;Robert Horry;23;35;10.3;14.5;2.5;2;
WSB;Michael Adams;31;47;4.6;29.8;2.1;0.2;
PHI;Tim Perry;28;21;9.5;6;1.3;2.1;
POR;Clyde Drexler;31;89;10.4;21.9;2;0.9;
GSW;Avery Johnson;28;27;4.1;25.3;2.3;0.2;
GSW;Chris Mullin;30;76;8;19.1;2.2;1.4;
MIL;Blue Edwards;28;95;8.1;12.1;1.8;0.8;
BOS;Dino Radja;26;97;14.1;7.9;1.5;1.8;
ORL;Scott Skiles;29;56;4.6;30;1;0.1;
PHO;Charles Barkley;30;85;17.8;20;2.2;1;
IND;Dale Davis;24;59;18.1;6.5;1.1;3.2;
ORL;Dennis Scott;25;68;5.4;13.9;1.8;0.9;
LAL;Sedale Threatt;32;21;3.6;23.1;2.4;0.5;
LAL;Elden Campbell;25;10;12.5;5.7;1.4;4.1;
UTA;Felton Spencer;26;65;17.2;2.8;1;2.1;
HOU;Kenny Smith;28;85;3.5;22.6;1.3;0.1;
MIN;Micheal Williams;27;34;5.9;37.8;2.7;0.7;
MIA;Grant Long;27;93;12.8;11.5;2.1;0.8;
MIN;Doug West;26;100;6.2;14.1;1.5;0.7;
CHH;Dell Curry;29;57;6.7;16.7;2.2;0.8;
DET;Lindsey Hunter;23;71;4.8;27.7;2.8;0.3;
SEA;Sam Perkins;32;93;10;7.4;1.6;1;
UTA;Tyrone Corbin;31;33;10.4;8.3;2.4;0.8;
ATL;Craig Ehlo;32;57;7.1;18.8;3.2;0.8;
MIL;Todd Day;24;55;8.4;10.7;2.5;1.7;
LAC;Loy Vaught;25;6;16.5;5.2;1.7;0.6;
IND;Rik Smits;27;65;13.2;13;1.2;2.6;
POR;Harvey Grant;28;11;9;7.4;1.6;1.5;
BOS;Rick Fox;24;91;9.6;15.3;1.9;1.6;
POR;Terry Porter;30;64;5.6;28.2;1.9;0.6;
NYK;John Starks;28;60;5.1;28.9;2.4;0.2;
MIA;Brian Shaw;27;92;9.7;28.2;1.8;0.7;
CHI;Steve Kerr;28;36;3.8;15.2;1.9;0.1;
CHI;Pete Myers;30;35;5.2;17.3;2;0.7;
MIN;Chuck Person;29;9;7.3;15.7;1.1;0.4;
WSB;Rex Chapman;26;33;4.2;15.3;1.5;0.2;
CLE;Chris Mills;24;44;11.5;9.8;1.4;1.6;
CHH;Alonzo Mourning;23;94;16.7;6.6;0.7;5.7;
NYK;Greg Anthony;26;74;5.4;27.3;3;0.5;
PHI;Jeff Hornacek;30;37;5.8;25.5;2.4;0.3;
BOS;Robert Parish;40;52;15.4;6.3;1.1;3;
BOS;Xavier McDaniel;30;28;11.5;10;1.2;1.2;
NJN;Armen Gilliam;29;55;13.4;5.6;1;1.9;
PHI;Orlando Woolridge;34;30;8.4;11.9;1.1;1.7;
NJN;P.J. Brown;24;91;13.3;6.7;1.8;3;
SAS;Vinny Del Negro;27;92;4.6;25.5;1.7;0;
DAL;Fat Lever;33;58;8.2;16.6;4.1;0.5;
LAC;Elmore Spencer;24;99;11.4;5.6;0.7;4;
MIN;Mike Brown;30;14;13.6;5.4;1.3;1;
MIA;John Salley;29;89;12.1;10.1;1.5;2.8;
NYK;Anthony Mason;27;81;12.7;11.7;0.8;0.3;
SEA;Nate McMillan;29;83;8.9;27.3;5.8;0.8;
BOS;Kevin Gamble;28;36;4.8;12.4;1.5;0.7;
UTA;Tom Chambers;34;63;10.2;6.8;1.1;1.2;
CLE;Brad Daugherty;28;96;16.1;12.9;1.2;1.3;
ATL;Jon Koncak;30;27;11;7.6;1.8;4.5;
NJN;Benoit Benjamin;29;74;14.5;3.8;1;3.1;
CHI;Toni Kukoc;25;30;9.6;21.5;2.3;1.3;
PHO;Oliver Miller;23;2;15;19.1;2.3;5.5;
DAL;Popeye Jones;23;72;19.2;8.4;1.7;1.2;
LAL;George Lynch;23;40;12.6;8.2;2.9;1;
CHH;Larry Johnson;24;74;14.1;16;0.8;0.5;
DET;Isiah Thomas;32;34;5;36.7;2;0.2;
IND;Antonio Davis;25;38;16.9;4.7;1.3;3.3;
MIA;Bimbo Coles;25;44;5.2;22.7;2.2;0.5;
IND;Haywoode Workman;28;1;6.9;34.3;2.6;0.2;
SEA;Michael Cage;32;38;15.4;3.5;2.3;1.6;
SEA;Vincent Askew;27;68;6.5;16.8;2.2;0.8;
ATL;Dominique Wilkins;34;91;9.9;11.9;1.9;0.8;
DAL;Doug Smith;24;97;11.6;11.8;2.5;1.5;
UTA;Jeff Malone;32;94;4;6.6;0.8;0.2;
CHH;Kenny Gattison;29;87;12;8.1;1.8;1.7;
DET;Greg Anderson;29;86;19.5;4.6;1.7;2.7;
UTA;Jay Humphries;31;42;4.5;20.4;2.1;0.5;
MIN;Chris Smith;23;37;4.4;27.4;1.2;0.7;
LAL;Tony Smith;25;64;6.5;13.8;1.8;0.5;
ATL;Andrew Lang;27;7;10.7;4.6;1.2;3.5;
HOU;Mario Elie;30;16;6.3;19.1;1.6;0.3;
WSB;Calbert Cheaney;22;65;6.9;12.9;2;0.4;
PHO;Cedric Ceballos;24;50;12.1;9.4;1.8;0.9;
LAL;James Worthy;32;18;6.2;15.6;1.4;0.7;
LAC;Danny Manning;27;63;9.9;18.7;1.6;2.2;
PHO;Danny Ainge;34;6;4.7;15.9;1.8;0.3;
CLE;Terrell Brandon;23;72;6;27.9;2.8;0.7;
ORL;Jeff Turner;31;76;9.9;5.4;0.8;0.5;
LAC;Gary Grant;28;58;4.9;27.9;3.7;0.5;
CLE;Bobby Phills;24;69;8;13.8;2.3;0.5;
BOS;Ed Pinckney;30;83;17.7;5.5;1.9;1.8;
DET;Allan Houston;22;29;4.4;10.5;1.1;0.6;
LAL;Doug Christie;23;44;8.4;13.4;3;1.2;
DEN;Bison Dele;24;43;16.4;5.2;1.6;3.6;
WSB;Kevin Duckworth;29;20;12.8;5.5;1.2;1.5;
MIL;Lee Mayberry;23;14;3.9;22.2;1.6;0.2;
CHH;Eddie Johnson;34;14;8.5;13.8;1.2;0.3;
CLE;Tyrone Hill;25;34;20;5;1.9;1.6;
MIL;Frank Brickowski;34;7;11.1;19.1;1.8;0.7;
POR;Mark Bryant;28;98;11.9;3.5;1.1;1.3;
SAS;Negele Knight;26;41;4.1;21.3;1.3;0.5;
DEN;Rodney Rogers;22;96;8.9;11.4;2.2;2.1;
NYK;Anthony Bonner;25;24;13.9;9.4;2.8;0.7;
WSB;Kenny Walker;29;55;12.1;3.3;0.9;2.6;
PHI;Shawn Bradley;21;34;12.1;11.1;1.6;6.4;
DEN;Robert Pack;24;81;4.9;40.4;2.9;0.4;
CHI;Bill Wennington;30;98;15.1;7.9;1.6;1.5;
MIA;Harold Miner;22;24;6.5;11.3;1.2;0.7;
ORL;Donald Royal;27;40;10.3;6.3;1.9;0.7;
SAC;Walt Williams;23;48;9.5;15.3;1.9;1.1;
DET;Olden Polynice;29;76;18.7;2.6;0.9;1.7;
NJN;Chris Morris;28;91;8.9;9.5;2;2.3;
SAS;J.R. Reid;25;99;9.2;8.9;1.7;1.2;
PHI;Johnny Dawkins;30;26;5;30.1;2.4;0.2;
NYK;Hubert Davis;23;6;2.8;20.4;1.6;0.2;
DAL;Tim Legler;27;45;5.4;15.1;2;0.7;
WSB;Mitchell Butler;23;90;10;8.9;2;0.9;
GSW;Victor Alexander;24;70;12.6;7.3;1;1.5;
NYK;Derek Harper;32;55;3.7;27.6;3.2;0.2;
MIN;Thurl Bailey;32;10;9.7;7.2;0.8;2.9;
GSW;Chris Gatling;26;83;16.6;4.7;1.5;3;
HOU;Carl Herrera;27;16;12.3;4.1;1.3;1.3;
POR;Jerome Kersey;31;12;14.1;8.5;2.7;2.4;
NJN;Johnny Newman;30;31;5.1;5.4;2;1.1;
DAL;Sean Rooks;24;13;11.6;6.3;0.9;2.4;
MIL;Jon Barry;24;20;6.8;21;4.2;0.9;
PHO;Mark West;33;76;13.4;3.6;1.2;5.5;
HOU;Scott Brooks;28;95;4.6;17.6;2.1;0.1;
MIA;Matt Geiger;24;37;14.3;4.2;1.5;1.7;
IND;Byron Scott;32;55;5.3;18.9;2.7;0.5;
DET;David Wood;29;2;11.2;6.1;1.7;1;
WSB;Pervis Ellison;26;73;12;8.6;1.1;2.7;
DAL;Lucious Harris;23;93;7.6;14.3;2.1;0.6;
PHI;Eric Leckner;27;86;13.3;11.1;0.8;1.8;
ATL;Duane Ferrell;28;90;6.1;8.5;1.9;0.9;
BOS;Acie Earl;23;74;12.1;1.5;1;2.9;
SAS;Terry Cummings;32;28;14.8;6.9;1.5;0.8;
MIL;Derek Strong;25;85;14.3;6.6;1.7;0.8;
HOU;Sam Cassell;24;99;6.6;25.8;2.7;0.4;
UTA;Bryon Russell;23;33;9.3;7;3.1;1.2;
NYK;Charles Smith;28;39;8.5;7.2;1.2;2.9;
GSW;Keith Jennings;25;14;4.4;26.1;2.9;0;
GSW;Jeff Grayer;28;21;9.4;7.9;1.5;0.7;
SAC;Trevor Wilson;25;85;12.2;8.4;1.5;0.6;
IND;Sam Mitchell;30;7;10.1;8.9;1.6;0.6;
UTA;David Benoit;25;12;14;3.2;1.1;2.4;
IND;Vern Fleming;31;15;6.8;24.8;2;0.4;
SAC;Olden Polynice;29;72;18.3;2.6;0.8;1.9;
SAC;Randy Brown;25;93;5.9;18.3;3;0.9;
WSB;Brent Price;25;81;5.1;30.5;2.7;0.1;
SEA;Ricky Pierce;34;46;4.8;15.4;2.1;0.4;
IND;Pooh Richardson;27;71;6.2;36;1.6;0.2;
CHH;David Wingate;30;89;7.4;14.4;2.1;0.4;
ATL;Ennis Whatley;31;68;5.4;25.7;3;0.1;
MIN;Luc Longley;25;97;17.5;7.5;1.8;3.8;
CHH;Tony Bennett;24;41;5.1;22.2;2;0.1;
IND;Kenny Williams;24;94;12.1;8.7;1.3;3.4;
SAS;Lloyd Daniels;26;30;6.4;14.5;1.6;1.1;
SAC;Pete Chilcutt;25;40;15.2;11.2;2.2;1.8;
NYK;Rolando Blackman;34;99;5.4;12.7;1.3;0.4;
CLE;Danny Ferry;27;46;8.5;12.1;1.5;1.5;
MIL;Brad Lohaus;29;4;9;9.7;1.6;3.9;
MIN;Tellis Frank;28;66;13.4;8.7;1.9;2.3;
ORL;Anthony Bowie;30;33;7.1;15.4;1.7;0.8;
LAC;Dominique Wilkins;34;71;9.9;10.3;1.5;0.5;
ATL;Danny Manning;27;53;10;14.6;2.5;1.8;
LAC;Harold Ellis;23;57;8.8;5;3.8;0.1;
LAL;Anthony Peeler;24;33;6.4;15.9;2.3;0.5;
CLE;Larry Nance;34;9;14.5;8.7;1.6;4;
PHI;Jeff Malone;32;57;5.1;11.3;0.8;0;
DAL;Derek Harper;32;46;3.5;17.5;2.6;0.3;
PHI;Greg Graham;23;60;5.3;11.5;3.4;0.3;
PHI;Warren Kidd;23;68;14.5;3.2;1.1;1.6;
DEN;Tom Hammonds;26;88;12.6;5.8;1.1;0.9;
DET;Charles Jones;36;40;14.8;4.3;0.8;3.2;
NJN;Jayson Williams;25;39;15.8;4.5;1;2.5;
PHO;Frank Johnson;35;53;5.3;23.6;2.3;0.1;
LAC;Bo Outlaw;22;63;12.9;5.6;2;2.6;
GSW;Byron Houston;24;67;12.1;4.7;1.8;2.2;
LAC;Mark Aguirre;34;73;7.2;18.5;1.2;0.6;
PHO;Joe Kleine;32;44;12.8;7.3;0.8;1.4;
DAL;Tony Campbell;31;20;8.5;10.6;1.8;1.1;
SAC;LaBradford Smith;24;41;5;18.9;2.2;0.3;
UTA;Jeff Hornacek;30;17;4.7;20;2;0.3;
POR;Tracy Murray;22;84;7.4;5.8;1.2;1.5;
CLE;John Battle;31;72;2.8;16.2;1.4;0.1;
CHI;Bill Cartwright;36;66;11.4;10.5;0.5;0.7;
NYK;Herb Williams;35;9;13.3;5.6;1.2;3.9;
CHH;Scott Burrell;23;60;9.5;11.1;2.4;1.3;
ATL;Adam Keefe;23;50;14.5;6.4;1.3;0.8;
LAC;Terry Dehere;22;83;4.8;15.2;1.8;0.2;
WSB;Doug Overton;24;99;5.4;17.7;1.4;0.1;
SAS;Sleepy Floyd;33;71;5.3;19.3;0.9;0.7;
HOU;Matt Bullard;26;100;6.4;12.6;1;0.5;
LAC;John Williams;27;38;9.3;18.2;1.7;0.8;
MIA;Willie Burton;25;87;11.1;8.9;1.3;2;
MIL;Anthony Avent;24;13;12.7;7.4;1.2;1.9;
CHI;Corie Blount;25;47;16.5;11.4;1.4;3.3;
DAL;Greg Dreiling;31;77;13.9;6.5;1.2;2.4;
ORL;Larry Krystkowiak;29;2;10.1;6.9;1;0.4;
CHH;LeRon Ellis;24;51;15.3;4.9;1.2;2.3;
DAL;Lorenzo Williams;24;27;17.3;4.8;1.1;4.1;
ORL;Anthony Avent;24;26;15.3;6.2;1.3;1;
SAC;Duane Causwell;25;81;15.1;2.3;1.4;4.6;
POR;James Robinson;23;35;6.3;14.5;2.2;1.4;
SAC;Mike Peplowski;23;13;13.8;5.2;1.3;2.4;
CHH;Frank Brickowski;34;15;10.6;13;2.1;1;
WSB;Gheorghe Muresan;22;3;17.3;4.5;2.2;4.6;
LAC;Tom Tolbert;28;42;9;6.4;1;1.4;
CHI;Scott Williams;25;38;16.6;9.5;1.3;2.3;
LAL;Kurt Rambis;35;68;16.2;6.8;1.7;2.3;
MIN;Marlon Maxey;24;44;18.6;2.6;1.3;3.4;
IND;Malik Sealy;23;95;11;12.4;2.6;0.9;
PHI;Moses Malone;38;55;20.1;8.9;0.9;1.7;
UTA;Walter Bond;24;24;6.3;8;1.5;1.5;
LAL;Sam Bowie;32;2;12.8;12.1;0.4;3.2;
CLE;Rod Higgins;34;45;8.7;10;2.4;1.7;
NJN;David Wesley;23;30;4.3;33.3;3.5;0.5;
BOS;Jimmy Oliver;24;61;4.8;9.1;1.5;0.1;
CHI;Stacey King;27;28;14.4;10.5;1.8;1.5;
LAC;Bob Martin;24;35;11.6;4.1;0.7;3.7;
MIN;Stacey King;27;64;12.4;6.1;1.3;3.7;
CHI;Luc Longley;25;33;15.7;18.8;1;2.8;
SAC;Bobby Hurley;22;65;3.7;33.1;1.3;0.1;
NYK;Doc Rivers;32;6;4.4;29.7;2.6;0.7;
LAL;James Edwards;38;34;7.5;7;0.4;0.4;
BOS;Chris Corchiani;25;32;5.3;24.5;2.4;0.3;
SAS;Antoine Carr;32;46;6.2;5.1;1;3.1;
PHO;Elliot Perry;24;75;5.1;37.4;2.9;0.1;
CHH;Johnny Newman;30;78;7.5;10.6;2.1;0.7;
DAL;Donald Hodge;24;20;12.5;11.2;1.8;2.1;
CHI;Jo Jo English;23;8;6.3;13.2;1;1.6;
CHI;Will Perdue;28;38;18.6;12.2;1.1;1.9;
DET;Pete Chilcutt;25;21;14.2;5.7;1.3;1.8;
NJN;Rex Walters;23;8;5.2;28.6;2;0.5;
ORL;Tree Rollins;38;15;14;3;0.9;5.7;
GSW;Josh Grant;26;20;12.6;8.6;2.3;1.3;
NYK;Tony Campbell;31;38;9;13.2;2.7;0.2;
CHH;Marty Conlon;26;54;13;10.9;0.7;1.1;
MIN;Brian Davis;23;9;8.6;9.1;2.2;0.7;
DET;Mark Macon;24;66;5.1;16.5;4.5;0;
DAL;Darren Morningstar;24;30;12.4;6.2;2;0.4;
LAC;Randy Woods;23;39;4.4;28.6;3.3;0.3;
LAC;Stanley Roberts;23;54;14.1;4.4;0.8;4.3;
CHI;John Paxson;33;36;3.4;13.1;1.1;0.4;
SAS;Chris Whitney;22;38;4.8;21.4;1.7;0.2;
PHI;Sean Green;23;7;5.6;8.1;2.7;1.1;
DAL;Randy White;26;14;14.6;5.4;1.6;2.1;
MIA;Keith Askins;26;85;14.6;5.9;1.8;0.2;
NJN;Dwayne Schintzius;25;4;14.7;5.8;1.1;3.3;
POR;Reggie Smith;23;42;17.1;1.7;1.8;1.2;
UTA;John Crotty;24;26;5.7;37;2.5;0.2;
ORL;Greg Kite;32;91;12.7;1.6;0.3;2.4;
NJN;Rumeal Robinson;27;96;4.2;22.7;2.5;0.6;
SAC;Andre Spencer;29;8;11.6;10.2;3.1;1.1;
DAL;Terry Davis;26;49;14.5;3;1.6;0.2;
DEN;Darnell Mee;22;83;6.8;8;2.6;2.9;
IND;LaSalle Thompson;32;62;15.4;8;1.8;1.9;
SEA;Ervin Johnson;26;72;25;3.6;1.8;5.6;
DET;Marcus Liberty;25;20;11.3;8.2;2;0.9;
LAL;Reggie Jordan;26;13;14;15.1;2.7;1.2;
CHH;Mike Gminski;34;26;12.8;5.9;2.5;3.1;
DET;Bill Laimbeer;36;19;12.5;9.2;1.2;1;
LAL;Antonio Harvey;23;81;13;2.8;1.6;4.8;
SAC;Randy Breuer;33;51;12.4;4.2;1.2;4.9;
MIL;Danny Schayes;34;53;11.2;3.1;1.1;2.3;
NJN;Rick Mahorn;35;9;12.6;3.2;0.7;1.4;
HOU;Eric Riley;23;68;15;6.3;1.2;2.6;
GSW;Jud Buechler;25;46;7.9;10.6;1.8;0.3;
MIL;Anthony Cook;26;54;16;3.1;0.8;4;
WSB;Marty Conlon;26;5;14.5;4.5;1;0.3;
PHI;Isaac Austin;24;100;18.8;13.2;1.2;3;
PHO;Jerrod Mustaf;24;51;15.8;5.7;1;1.6;
DEN;Kevin Brooks;24;41;6.1;2.6;0;0.7;
POR;Jaren Jackson;26;2;4.9;21.5;1;0.7;
IND;Scott Haskin;23;87;17.1;4.7;0.6;5.5;
WSB;Ron Anderson;35;20;8.8;8.7;0.8;0.3;
MIL;Joe Courtney;24;57;9.4;5.5;2;2.3;
NJN;Ron Anderson;35;35;7.8;4.8;1.4;0.7;
IND;Lester Conner;34;23;8.2;25.5;4.3;0.4;
SAC;Jim Les;30;76;4.2;31.7;2;0.4;
PHO;Joe Courtney;24;40;9;8.5;0.9;2.2;
BOS;Alaa Abdelnaby;25;85;16.3;2.7;0.6;1.2;
DEN;Mark Randall;26;37;7.9;10.3;2.6;1.2;
SEA;Steve Scheffler;26;40;10.1;6;2.3;0;
CLE;Gerald Madkins;24;78;4.3;17.8;3.2;0;
SAC;Evers Burns;22;36;11.5;9.7;2.1;1.3;
PHO;Duane Cooper;24;36;3.7;27.9;1.1;0;
LAL;Danny Schayes;34;86;13.9;8.3;1.9;0.9;
CLE;Jay Guidinger;24;23;14.6;3.4;1.6;2.5;
ATL;Paul Graham;26;14;5.2;15.4;1.6;2.5;
ORL;Litterial Green;23;63;5.3;10.6;2.4;0.5;
DEN;Mark Macon;24;86;3.1;12.7;2.4;0.5;
LAL;Trevor Wilson;25;85;12.1;14;2;0.5;
DAL;Morlon Wiley;27;38;2.7;17.8;5.3;0;
CHI;Dave Johnson;23;51;7.9;5;1.8;0;
ATL;Doug Edwards;23;56;9.2;11.3;1;3;
CHH;Tim Kempton;30;33;7.5;7.6;1.9;0.6;
CHH;Rumeal Robinson;27;30;4.7;26.5;1.6;0;
SAS;Jack Haley;30;100;14.4;1.8;0;0;
HOU;Richard Petruska;25;82;18.7;1.8;1.1;2;
UTA;Luther Wright;22;48;6.3;0;0.6;1.5;
MIN;Stanley Jackson;23;48;17.2;30.4;2.8;0;
BOS;Tony Harris;26;100;6.4;12.4;2.3;0;
SEA;Chris King;24;41;10.3;20.5;2.3;0;
POR;Chris Dudley;28;82;15.2;7.4;2.3;2.2;
DEN;Adonis Jordan;23;34;4.2;33.3;0;0.8;
SEA;Rich King;24;9;15.2;15.7;0.6;1.8;
NYK;Corey Gaines;28;29;9.4;57.5;1.3;0;
HOU;Chris Jent;24;66;10.7;14;0;0;
DET;Ben Coleman;32;7;18.7;0;1.3;1.7;
LAC;Henry James;28;71;9.9;2.1;1.3;0;
WSB;Gerald Paddio;28;38;8.7;14.3;2;0;
WSB;Andrew Gaze;28;70;5.8;10.3;1.4;0.9;
PHO;Malcolm Mackey;23;26;19.6;2.2;0;2.7;
MIA;Alec Kessler;27;27;8.6;4.7;0.8;1;
CLE;Sedric Toney;31;13;2.7;22.7;0;0;
GSW;Andre Spencer;29;88;10.3;6.4;0.8;1.9;
MIA;Manute Bol;31;1;10.2;0;0;6.8;
POR;Kevin Thompson;22;48;12.2;6.9;0;2.2;
GSW;Todd Lichti;27;16;9.3;7.2;0;0;
DET;Tod Murphy;30;5;8.7;7.5;1.8;0;
DET;Dan O'Sullivan;25;3;9.9;7.3;0;0;
HOU;Larry Robinson;26;17;10.1;17.4;6.4;0;
IND;Gerald Paddio;28;52;5.3;11.4;0.9;0;
MIL;Mike Gminski;34;20;16;0;0;3.8;
UTA;Stephen Howard;23;30;17.4;3;1;4;
PHI;Manute Bol;31;96;6.7;0;2;11.1;
BOS;Todd Lichti;27;18;9.4;17.6;5.2;1.3;
WSB;LaBradford Smith;24;34;9.7;16.2;3.1;1.3;
MIN;Corey Williams;23;67;7.6;20.1;2.2;0;
PHI;Bill Edwards;22;31;17.5;12.3;3.4;1.4;
CLE;Gary Alexander;24;79;16.2;3.7;3.7;0;
PHI;Michael Curry;25;97;1.3;3.3;1.2;0;
NYK;Eric Anderson;23;100;24.7;8.5;0;1.8;
BOS;Matt Wenstrom;23;59;18.3;0;0;3.4;
WSB;Larry Stewart;25;57;11.7;7.9;2.9;1.8;
MIA;Morlon Wiley;27;37;6.7;28.6;3;0;
CLE;Tim Kempton;30;9;17.6;15;3.2;2;
MIN;Andres Guibert;25;50;28.4;10.5;0;1.9;
ORL;Keith Tower;23;20;10.5;4.3;0;0;
DEN;Roy Marble;27;95;13.9;4.2;0;3.9;
HOU;Earl Cureton;36;9;22.2;0;0;0;
DEN;Jim Farmer;29;24;3.8;18.9;0;0;
WSB;Tito Horford;28;55;6.3;0;1.8;6.7;
ORL;Todd Lichti;27;57;11.2;15.5;5;0;
ORL;Lorenzo Williams;24;69;11.8;13.3;5.3;9.9;
CHH;Lorenzo Williams;24;73;11.6;0;2.6;6.5;
MIL;Greg Foster;25;38;9.1;0;0;3.6;
CHH;Steve Henson;25;99;3.3;37;0;0;
SEA;Alphonso Ford;22;8;0;15.3;6.3;0;
PHO;Skeeter Henry;26;26;7.5;33.2;0;0;
ATL;John Bagley;33;86;4.2;28.1;0;0;
UTA;Aaron Williams;22;32;14.4;13;0;0;
MIA;Gary Alexander;24;48;14.2;11.5;0;0;
GSW;Dell Demps;23;62;0;12.9;8.8;0;
DEN;Marcus Liberty;25;90;25.3;41.8;0;0;
NJN;Dave Jamerson;26;2;15.8;12.5;0;0;
GSW;Tod Murphy;30;73;5.4;11.3;0;0;
DET;Tracy Moore;28;100;5.5;0;10.2;0;
DAL;Chucky Brown;25;30;5.6;0;0;0;
NYK;Gerald Paddio;28;56;0;0;0;0;
ATL;Ricky Grace;26;89;6.9;21.9;0;0;
PHO;Negele Knight;26;19;0;0;0;7.9;
WSB;Manute Bol;31;10;9.7;20.6;0;10.4;
UTA;Darren Morningstar;24;70;14.4;0;0;0;
UTA;Dave Jamerson;26;51;14.4;0;0;0;
UTA;Chad Gallagher;24;96;0;0;0;0;
ORL;Geert Hammink;24;16;18.7;64.9;0;0;
UTA;Sean Green;23;82;0;0;0;0;
ORL;Anthony Cook;26;96;0;0;0;62.9;
SAS;Chuck Nevitt;34;47;56.3;0;0;0;
MIL;Vin Baker;23;47;15.1;15.1;1.3;2.6;
PHI;Dana Barros;27;34;4.8;32.6;2.4;0.1;
CHH;Larry Johnson;25;56;10.7;19.4;1.3;0.6;
SAC;Mitch Richmond;29;43;6.6;17.8;1.5;0.7;
UTA;Karl Malone;31;89;17.4;16.4;2.1;2.2;
DEN;Dikembe Mutombo;28;5;19.9;5.5;0.7;7.5;
PHO;Dan Majerle;29;37;7;15.6;1.6;0.9;
SAS;David Robinson;29;26;16.2;13.7;2.2;5.9;
ATL;Mookie Blaylock;27;31;7.5;34.2;3.5;0.6;
SEA;Gary Payton;26;48;5.5;31.8;3.4;0.3;
CHI;Scottie Pippen;29;2;12.5;22.8;4;2.2;
MIA;Glen Rice;27;53;7.4;11.1;1.9;0.4;
SAS;Avery Johnson;29;32;3.9;33.4;1.9;0.3;
PHI;Clarence Weatherspoon;24;39;10.3;12.8;2;1.7;
DAL;Jamal Mashburn;22;83;6;17.2;1.4;0.2;
LAC;Loy Vaught;26;72;15.3;8.3;1.8;0.7;
MIL;Glenn Robinson;22;26;10.4;12.2;2;0.6;
LAL;Nick Van Exel;23;28;4.2;33.6;1.7;0.1;
CHH;Alonzo Mourning;24;10;15.3;6.6;0.9;5.5;
ORL;Shaquille O'Neal;22;23;17.6;13.3;1.3;4.5;
