Tm;Player;Age;PER;points;rebounds;assists;steals;blocks
NYK;Ray Williams;23;85;7;30.9;3;0.5;
PHO;Alvin Scott;22;52;11.9;6.9;1.5;1.3;
KCK;Tom Burleson;25;86;16.2;11.3;1.8;2.8;
LAL;Jamaal Wilkes;24;52;13;16.1;2.3;0.7;
SAS;Allan Bristow;26;36;9.1;16.7;2.1;0.1;
NJN;Tim Bassett;26;9;13.3;5.4;1.8;1.2;
WSB;Larry Wright;23;19;3.4;25;2.1;0.5;
IND;John Williamson;26;16;4;14;1.4;0;
NJN;Jan Van Breda Kolff;26;98;8.3;9.1;1.6;1.7;
LAL;Charlie Scott;29;54;5.4;21.6;1.9;0.4;
BUF;Marvin Barnes;25;2;13.6;12.2;1.9;2.7;
POR;Corky Calhoun;27;51;8.2;8.2;1.4;0.6;
IND;Len Elmore;25;35;15.4;7.8;2.5;2.8;
SEA;Bruce Seals;24;70;8.7;8.8;1.4;1.3;
LAL;Tom Abernethy;23;66;10.3;9.7;1.9;0.8;
MIL;Kent Benson;23;47;12.1;9.8;2.4;2.2;
NJN;John Williamson;26;50;4;10.9;1.6;0.4;
NOJ;Joe Meriweather;24;91;14;6.1;0.6;4.6;
DET;Al Skinner;25;98;7.1;11.8;1.8;0.6;
MIL;Lloyd Walton;24;42;3.2;24.1;2.7;0.5;
MIL;Ernie Grunfeld;22;63;8.1;14.6;1.9;0.8;
PHI;Joe Bryant;23;100;11.5;13.7;2;1;
DEN;Brian Taylor;26;36;4.1;14.5;2.6;0.4;
NJN;Darnell Hillman;28;48;13.4;5.8;1.7;1.9;
NJN;Howard Porter;29;73;10.4;5.1;0.9;1.4;
KCK;John Kuester;22;3;4.8;26.3;2.1;0;
DEN;Bo Ellis;23;79;12.9;7.7;1.8;2;
BOS;Cedric Maxwell;22;51;15.9;7.6;2;2;
HOU;Mike Newlin;29;38;5.4;24.2;2.1;0.4;
POR;Lloyd Neal;27;70;16.5;10.3;1.1;1;
NYK;Toby Knight;22;6;14.2;4.3;1.9;1.2;
HOU;Ed Ratleff;27;4;7.4;16.8;2.4;1;
BOS;Tom Boswell;24;6;12.7;8.6;1;0.6;
SAS;Mike Green;26;55;14.1;7.4;0.9;3.8;
POR;Larry Steele;28;18;5.2;10.7;2.4;0.2;
IND;Ron Behagen;27;75;14.3;8.4;1.3;0.9;
GSW;Rickey Green;23;32;5.4;17.6;2.4;0;
DEN;Jim Price;28;97;7.5;18.9;2.8;0.2;
BOS;Charlie Scott;29;39;4.8;19.3;2.1;0.3;
BUF;Bill Willoughby;20;53;10.9;4.9;1;2.3;
CLE;John Lambert;25;97;15.3;4.7;1.2;2.4;
NJN;Eddie Jordan;23;21;5;19.8;4.7;0.9;
NJN;Bob Carrington;24;65;5.3;7.2;1.8;0.6;
